Navn;Organisation;Type;Sprog;Filtype;Periode (Start);Periode (Slut);Tags;Emne;url;Licens;Dokumentation
Leipzig Corpora Collection;Universität Leipzig;Korpora;NA;txt;NA;NA;tekst;Sprog og retskrivning:Uddannelse, kultur og sport;https://wortschatz.uni-leipzig.de/en/download/Danish;https://creativecommons.org/licenses/by-nc/4.0/;http://pcai056.informatik.uni-leipzig.de/downloads/corpora/Format_Download_File-eng.pdf
Bilingual English-Danish parallel corpus from The Viking Ship Museum website;EU;NA;dan:eng;tmx;NA;NA;dansk-engelsk:ELRC:engelsk-dansk:korpora:kultur:oversættelse;Sprog og retskrivning:Uddannelse, kultur og sport;https://elrc-share.eu/repository/browse/bilingual-english-danish-parallel-corpus-from-the-viking-ship-museum-website/24af375ecde311e8b7d400155d0267060b637ec9a99d4febafa4f446bdee2d11/;http://opendefinition.org/okd/;NA
Danish Legal monolingual corpus from the contents of the retsinformation.dk web site;EU;NA;dan;txt;NA;NA;lovgivning:retsinformation:dansk:jura:korpus;Regeringen og den offentlige sektor;https://elrc-share.eu/repository/browse/danish-legal-monolingual-corpus-from-the-contents-of-the-retsinformationdk-web-site/f8f993b6ac7b11e9a7e100155d02670627ece4f652a84074ac423f1d726701c1/;http://opendefinition.org/okd/;NA
COVID-19 EC-EUROPA v1 dataset. Bilingual (EN-DA);EU;Korpora;dan:eng;tmx;NA;NA;bilingual:dansk-engelsk:ELRC:engelsk-dansk:korpora:covid-19;Sprog og retskrivning:Uddannelse, kultur og sport:Sundhed;https://elrc-share.eu/repository/browse/covid-19-ec-europa-v1-dataset-bilingual-en-da/dd3f7610a17911ea913100155d0267060d246dbd7ad34cbf85227ca8931ce6dd/;https://creativecommons.org/licenses/by/4.0/;NA
Covid-19 EUR-LEX dataset. Bilingual (EN-DA);EU;Korpora;dan:eng;tmx;NA;NA;bilingual:dansk-engelsk:ELRC:engelsk-dansk:korpora:covid-19;Sprog og retskrivning:Uddannelse, kultur og sport:Sundhed;https://elrc-share.eu/repository/browse/covid-19-eur-lex-dataset-ilingual-en-da/3c629744c5b011ea913100155d02670695271bca8717457088f299785444537d/;https://creativecommons.org/licenses/by/4.0/;NA
COVID-19 EUROPARL dataset v2. Bilingual (EN-DA);EU;Korpora;dan:eng;tmx;NA;NA;bilingual:dansk-engelsk:ELRC:engelsk-dansk:korpora:covid-19:oversættelse;Sprog og retskrivning:Uddannelse, kultur og sport:Sundhed;https://elrc-share.eu/repository/browse/covid-19-europarl-v2-dataset-bilingual-en-da/b7b3872c941f11ea913100155d026706b8cb98e8c15941bb8b0ad3429bd9fa40/;https://creativecommons.org/licenses/by/4.0/;NA
COVID-19 ANTIBIOTIC dataset. Bilingual (EN-DA);EU;Korpora;dan:eng;tmx;NA;NA;bilingual:dansk-engelsk:ELRC:engelsk-dansk:korpora:covid-19;Sprog og retskrivning:Sundhed;https://elrc-share.eu/repository/browse/covid-19-antibiotic-dataset-bilingual-en-da/aa23e968904511ea913100155d026706cf8b2000777e4501b57e0001591ed6d4/;https://creativecommons.org/licenses/by/4.0/;NA
COVID-19 EU presscorner v2 dataset. Bilingual (EN-DA);EU;Korpora;dan:eng;tmx;NA;NA;bilingual:dansk-engelsk:ELRC:engelsk-dansk:korpora:covid-19:engelsk:dansk;Sprog og retskrivning:Sundhed;https://elrc-share.eu/repository/browse/covid-19-eu-presscorner-v2-dataset-bilingual-en-da/f63ee81cc5c811ea913100155d026706804efcf715df402da682a3b9adcf5567/;https://creativecommons.org/licenses/by/4.0/;NA
Bilingual corpus made out of PDF documents from the European Medicines Agency, (EMEA). February 2020. (EN-DA).;EU;Korpora;dan:eng;tmx;NA;NA;bilingual:dansk-engelsk:ELRC:engelsk-dansk:korpora:dansk:engelsk:oversættelse:sundhed;Sprog og retskrivning:Uddannelse, kultur og sport:Sundhed;https://elrc-share.eu/repository/browse/bilingual-corpus-made-out-of-pdf-documents-from-the-european-medicines-agency-emea-httpswwwemaeuropaeu-february-2020-en-da/82c81ac4862711ea913100155d0267069e964ab24f0f4825a6ef0bd26be8925d/;https://creativecommons.org/licenses/by/4.0/;NA
Compilation of Danish-English parallel corpora resources used for training of NTEU Machine Translation engines.;EU;Korpora;dan:eng;tmx;NA;NA;dansk:dansk-engelsk:ELRC:NTEU:oversættelse:korpora:tosproget;Sprog og retskrivning:Uddannelse, kultur og sport:Regeringen og den offentlige sektor;https://elrc-share.eu/repository/browse/compilation-of-danish-english-parallel-corpora-resources-used-for-training-of-nteu-machine-translation-engines/423b5f5ab40911eb9c1a00155d026706fee6591ed6204feb9466fdc7f15db5ec/;https://creativecommons.org/licenses/by-sa/4.0/;NA
Bilingual English-Danish parallel corpus from the official Nordic cooperation website;EU;NA;dan:eng;tmx;NA;NA;dansk-engelsk:engelsk-dansk:korpora:oversættelse;Internationale spørgsmål;https://elrc-share.eu/repository/browse/bilingual-english-danish-parallel-corpus-from-the-official-nordic-cooperation-website/bb912f7c7ad411e8b7d400155d0267067ded1f0df75c46aaa69c93e1712e55c3/;https://ec.europa.eu/digital-single-market/en/european-legislation-reuse-public-sector-information;NA
Bilingual English-Danish parallel corpus from The Danish Environmental Protection Agency website;EU;Korpora;dan:eng;tmx;NA;NA;dansk-engelsk:engelsk-dansk:korpora:oversættelse:miljø:PSI;Sprog og retskrivning:Uddannelse, kultur og sport:Miljø;https://elrc-share.eu/repository/browse/bilingual-english-danish-parallel-corpus-from-the-danish-environmental-protection-agency-website/41a59946cd5e11e8b7d400155d026706326ec488d7ce48a2bb4a9c9ae3eda91b/;http://opendefinition.org/okd/;NA
Bilingual English-Danish parallel corpus from Danmarks Statistik website;EU;NA;dan:eng;tmx;NA;NA;NA;Økonomi og finanser;https://elrc-share.eu/repository/browse/bilingual-english-danish-parallel-corpus-from-danmarks-statistik-website/7d504730cd6211e8b7d400155d026706884aeb7ff1ac44e1addbc99da5697b56/;https://ec.europa.eu/digital-single-market/en/european-legislation-reuse-public-sector-information;NA
Bilingual English-Danish parallel corpus from National Museum of Denmark website;EU;NA;dan:eng;tmx;NA;NA;NA;Regioner og byer;https://elrc-share.eu/repository/browse/bilingual-english-danish-parallel-corpus-from-national-museum-of-denmark-website/fcf4a488d13411e8b7d400155d0267063cfd3e29a30442eb8bb710a5af555b5d/;https://ec.europa.eu/digital-single-market/en/european-legislation-reuse-public-sector-information;NA
